Jahr;Monat;Typ;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);data_quality
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;483639;e;429563;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;249691;e;236586;e
;;Biomethan (Bioerdgas);118277;e;116056;e
;;Klärgas;.;;.;
;;Deponiegas;5471;e;5183;e
;;Sonstige erneuerbare Energien;-;;-;
;;Klärschlamm;22718;e;20186;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);52714;e;37268;e
;;Abfall (Hausmüll, Siedlungsabfälle);910328;e;717821;e
;;Kernenergie;3141965;e;2968431;e
;;Wärme;38279;e;36928;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;.;;.;
;;Andere Speicher;-;;-;
;;Insgesamt;29499352;e;27563882;e
;April;Steinkohlen;3967435;e;3585223;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;9223953;e;8606469;e
;;Hartbraunkohlen;.;;.;
;;Braunkohlenbriketts;.;;.;
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;.;;.;
;;Staub- und Trockenkohle;.;;.;
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;19;e;12;e
;;Heizöl, leicht;38830;e;36253;e
;;Heizöl, schwer;19970;e;17998;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;-;;-;
;;Sonstige Mineralölprodukte;.;;.;
;;Erdgas, Erdölgas;3366239;e;3262535;e
;;Grubengas;50992;e;50560;e
;;Kokereigas;-;;-;
;;Hochofengas;-;;-;
;;Sonstige hergestellte Gase;187;e;162;e
;;Wasserstoff;.;;.;
;;Laufwasser;1208001;e;1197428;e
;;Speicherwasser;44475;e;44187;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;42775;e;42775;e
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;448581;e;397207;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;234594;e;223258;e
;;Biomethan (Bioerdgas);100014;e;97942;e
;;Klärgas;.;;.;
;;Deponiegas;5169;e;4869;e
;;Sonstige erneuerbare Energien;-;;-;
;;Klärschlamm;21124;e;19126;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);44677;e;29798;e
;;Abfall (Hausmüll, Siedlungsabfälle);850459;e;669337;e
;;Kernenergie;3027395;e;2860039;e
;;Wärme;34172;e;32699;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;.;;.;
;;Andere Speicher;-;;-;
;;Insgesamt;22771277;e;21214290;e
;Mai;Steinkohlen;3189787;e;2892634;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;9031461;e;8417418;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;.;;.;
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;.;;.;
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;18;e;10;e
;;Heizöl, leicht;26724;e;24212;e
;;Heizöl, schwer;23580;e;21035;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;-;;-;
;;Sonstige Mineralölprodukte;.;;.;
;;Erdgas, Erdölgas;3150331;e;3025926;e
;;Grubengas;44812;e;44359;e
;;Kokereigas;-;;-;
;;Hochofengas;-;;-;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;.;;.;
;;Laufwasser;1350032;e;1339202;e
;;Speicherwasser;50730;e;50445;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;.;;.;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;446891;e;393233;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;230969;e;218866;e
;;Biomethan (Bioerdgas);68305;e;66892;e
;;Klärgas;.;;.;
;;Deponiegas;5215;e;4848;e
;;Sonstige erneuerbare Energien;-;;-;
;;Klärschlamm;19081;e;17027;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);50183;e;34707;e
;;Abfall (Hausmüll, Siedlungsabfälle);929124;e;739083;e
;;Kernenergie;2377583;e;2236430;e
;;Wärme;30467;e;29009;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;.;;.;
;;Andere Speicher;-;;-;
;;Insgesamt;21063371;e;19591673;e
;Juni;Steinkohlen;3382569;e;3100457;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;9645463;e;9009473;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;.;;.;
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;.;;.;
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;.;;18;e
;;Heizöl, leicht;34782;e;32242;e
;;Heizöl, schwer;15006;e;13692;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;-;;-;
;;Sonstige Mineralölprodukte;.;;.;
;;Erdgas, Erdölgas;2835974;e;2753811;e
;;Grubengas;42389;e;41923;e
;;Kokereigas;-;;-;
;;Hochofengas;-;;-;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;.;;.;
;;Laufwasser;1286396;e;1275657;e
;;Speicherwasser;67087;e;66814;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;19451;e;19451;e
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;426099;e;371730;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;217649;e;208653;e
;;Biomethan (Bioerdgas);50092;e;48890;e
;;Klärgas;.;;.;
;;Deponiegas;4782;e;4456;e
;;Sonstige erneuerbare Energien;-;;-;
;;Klärschlamm;17679;e;15183;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);44137;e;28632;e
;;Abfall (Hausmüll, Siedlungsabfälle);918051;e;716588;e
;;Kernenergie;2291603;e;2166173;e
;;Wärme;35345;e;33773;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;.;;.;
;;Andere Speicher;-;;-;
;;Insgesamt;21343910;e;19915887;e
;Juli;Steinkohlen;4137682;e;3778728;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;9518406;e;8890951;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;.;;.;
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;.;;.;
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;.;;.;
;;Heizöl, leicht;33252;e;30648;e
;;Heizöl, schwer;13639;e;12372;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;-;;-;
;;Sonstige Mineralölprodukte;.;;.;
;;Erdgas, Erdölgas;2525936;e;2436341;e
;;Grubengas;46158;e;45691;e
;;Kokereigas;-;;-;
;;Hochofengas;-;;-;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;.;;.;
;;Laufwasser;1014091;e;1004368;e
;;Speicherwasser;52062;e;51765;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;13462;e;13462;e
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;420949;e;366899;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;219445;e;206792;e
;;Biomethan (Bioerdgas);42110;e;41086;e
;;Klärgas;.;;.;
;;Deponiegas;5133;e;4741;e
;;Sonstige erneuerbare Energien;-;;-;
;;Klärschlamm;16231;e;13873;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);46405;e;30392;e
;;Abfall (Hausmüll, Siedlungsabfälle);952600;e;758797;e
;;Kernenergie;3093653;e;2920140;e
;;Wärme;23428;e;21964;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;.;;.;
;;Andere Speicher;-;;-;
;;Insgesamt;22183426;e;20636776;e
;August;Steinkohlen;5536303;e;5062261;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;9599172;e;8969459;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;.;;.;
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;.;;.;
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;.;;13;e
;;Heizöl, leicht;35192;e;31462;e
;;Heizöl, schwer;12238;e;10775;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;-;;-;
;;Sonstige Mineralölprodukte;.;;.;
;;Erdgas, Erdölgas;2996476;e;2910271;e
;;Grubengas;44621;e;44215;e
;;Kokereigas;-;;-;
;;Hochofengas;-;;-;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;.;;.;
;;Laufwasser;902473;e;894060;e
;;Speicherwasser;40932;e;40724;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;11379;e;11379;e
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;428028;e;373899;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;221089;e;213712;e
;;Biomethan (Bioerdgas);40157;e;39206;e
;;Klärgas;1574;e;1459;e
;;Deponiegas;5013;e;4681;e
;;Sonstige erneuerbare Energien;-;;-;
;;Klärschlamm;13511;e;11748;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);48631;e;33864;e
;;Abfall (Hausmüll, Siedlungsabfälle);943158;e;743771;e
;;Kernenergie;3110085;e;2936121;e
;;Wärme;20539;e;19316;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;.;;.;
;;Andere Speicher;-;;-;
;;Insgesamt;24021752;e;22362073;e
;September;Steinkohlen;5987516;e;5474620;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;9479879;e;8851800;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;.;;.;
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;.;;.;
;;Staub- und Trockenkohle;.;;.;
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;.;;.;
;;Heizöl, leicht;69325;e;63298;e
;;Heizöl, schwer;18431;e;16745;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;-;;-;
;;Sonstige Mineralölprodukte;.;;.;
;;Erdgas, Erdölgas;2534502;e;2434902;e
;;Grubengas;44870;e;44483;e
;;Kokereigas;-;;-;
;;Hochofengas;-;;-;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;.;;.;
;;Laufwasser;1029174;e;1018857;e
;;Speicherwasser;42396;e;42155;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;21842;e;21842;e
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;385290;e;342517;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;221359;e;214308;e
;;Biomethan (Bioerdgas);59400;e;57905;e
;;Klärgas;795;e;747;e
;;Deponiegas;4635;e;4356;e
;;Sonstige erneuerbare Energien;-;;-;
;;Klärschlamm;16389;e;14747;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);47416;e;33115;e
;;Abfall (Hausmüll, Siedlungsabfälle);799178;e;632184;e
;;Kernenergie;3055903;e;2887955;e
;;Wärme;25816;e;24638;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;.;;.;
;;Andere Speicher;-;;-;
;;Insgesamt;23865348;e;22200596;e
;Oktober;Steinkohlen;3528247;e;3206241;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;9459183;e;8811619;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;.;;.;
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;.;;.;
;;Staub- und Trockenkohle;.;;.;
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;.;;.;
;;Heizöl, leicht;67671;e;63522;e
;;Heizöl, schwer;22714;e;20671;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;-;;-;
;;Sonstige Mineralölprodukte;.;;.;
;;Erdgas, Erdölgas;3356662;e;3237513;e
;;Grubengas;48676;e;48279;e
;;Kokereigas;-;;-;
;;Hochofengas;-;;-;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;.;;.;
;;Laufwasser;1233160;e;1223817;e
;;Speicherwasser;56791;e;56536;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;40075;e;40075;e
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;432497;e;384840;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;234149;e;226367;e
;;Biomethan (Bioerdgas);76656;e;74843;e
;;Klärgas;.;;.;
;;Deponiegas;4386;e;4128;e
;;Sonstige erneuerbare Energien;-;;-;
;;Klärschlamm;12469;e;10754;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);37737;e;24218;e
;;Abfall (Hausmüll, Siedlungsabfälle);842586;e;668259;e
;;Kernenergie;2821925;e;2664503;e
;;Wärme;27602;e;25981;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;.;;.;
;;Andere Speicher;-;;-;
;;Insgesamt;22370448;e;20852044;e
;November;Steinkohlen;5666339;e;5185649;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;10036821;e;9349586;e
;;Hartbraunkohlen;.;;.;
;;Braunkohlenbriketts;.;;.;
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;.;;.;
;;Staub- und Trockenkohle;.;;.;
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;.;;25;e
;;Heizöl, leicht;116690;e;111123;e
;;Heizöl, schwer;37632;e;34127;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;-;;-;
;;Sonstige Mineralölprodukte;.;;.;
;;Erdgas, Erdölgas;3982992;e;3837396;e
;;Grubengas;51682;e;51212;e
;;Kokereigas;-;;-;
;;Hochofengas;-;;-;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;.;;.;
;;Laufwasser;1006802;e;997674;e
;;Speicherwasser;36440;e;35920;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;46638;e;46638;e
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;404770;e;362675;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;232494;e;224991;e
;;Biomethan (Bioerdgas);103263;e;100042;e
;;Klärgas;.;;.;
;;Deponiegas;4401;e;4043;e
;;Sonstige erneuerbare Energien;-;;-;
;;Klärschlamm;13905;e;12520;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);45577;e;30994;e
;;Abfall (Hausmüll, Siedlungsabfälle);828612;e;647324;e
;;Kernenergie;2999244;e;2831688;e
;;Wärme;20293;e;19244;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;.;;.;
;;Andere Speicher;-;;-;
;;Insgesamt;25707233;e;23945612;e
;Dezember;Steinkohlen;7193051;e;6568837;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;9627853;e;8956574;e
;;Hartbraunkohlen;.;;.;
;;Braunkohlenbriketts;.;;.;
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;.;;.;
;;Staub- und Trockenkohle;.;;.;
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;.;;.;
;;Heizöl, leicht;181822;e;173972;e
;;Heizöl, schwer;25812;e;23412;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;-;;-;
;;Sonstige Mineralölprodukte;.;;.;
;;Erdgas, Erdölgas;6130346;e;5967952;e
;;Grubengas;47685;e;47189;e
;;Kokereigas;-;;-;
;;Hochofengas;-;;-;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;.;;.;
;;Laufwasser;1040207;e;1029399;e
;;Speicherwasser;33022;e;32805;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;92313;e;92313;e
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;432906;e;386473;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;249059;e;241513;e
;;Biomethan (Bioerdgas);123552;e;120198;e
;;Klärgas;.;;.;
;;Deponiegas;4653;e;4373;e
;;Sonstige erneuerbare Energien;-;;-;
;;Klärschlamm;14917;e;12941;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);39211;e;24666;e
;;Abfall (Hausmüll, Siedlungsabfälle);812842;e;622434;e
;;Kernenergie;2871220;e;2702198;e
;;Wärme;26756;e;25789;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;.;;.;
;;Andere Speicher;-;;-;
;;Insgesamt;29020492;e;27095604;e
2023;Januar;Steinkohlen;5736528;p;5217367;p
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;8636330;p;8007895;p
;;Hartbraunkohlen;.;;.;
;;Braunkohlenbriketts;.;;.;
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;.;;.;
;;Staub- und Trockenkohle;.;;.;
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;.;;.;
;;Heizöl, leicht;152113;p;144126;p
;;Heizöl, schwer;26003;p;23585;p
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;-;;-;
;;Sonstige Mineralölprodukte;.;;.;
;;Erdgas, Erdölgas;5070708;p;4925332;p
;;Grubengas;39532;p;39260;p
;;Kokereigas;-;;-;
;;Hochofengas;-;;-;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;.;;.;
;;Laufwasser;1138910;p;1128085;p
;;Speicherwasser;56111;p;55777;p
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;81814;p;81814;p
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;449830;p;399824;p
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;246791;p;239762;p
;;Biomethan (Bioerdgas);128803;p;126600;p
;;Klärgas;.;;.;
;;Deponiegas;4750;p;4461;p
;;Sonstige erneuerbare Energien;-;;-;
;;Klärschlamm;15966;p;14051;p
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);36153;p;25362;p
;;Abfall (Hausmüll, Siedlungsabfälle);809686;p;619018;p
;;Kernenergie;.;;.;
;;Wärme;26448;p;25305;p
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;.;;.;
;;Andere Speicher;-;;-;
;;Insgesamt;24559810;e;22858860;e
;Februar;Steinkohlen;5817234;p;5309373;p
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;8635519;p;8025021;p
;;Hartbraunkohlen;.;;.;
;;Braunkohlenbriketts;.;;.;
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;.;;.;
;;Staub- und Trockenkohle;.;;.;
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;.;;.;
;;Heizöl, leicht;72799;p;67547;p
;;Heizöl, schwer;20466;p;18760;p
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;-;;-;
;;Sonstige Mineralölprodukte;.;;.;
;;Erdgas, Erdölgas;5367451;p;5227512;p
;;Grubengas;38149;p;37873;p
;;Kokereigas;-;;-;
;;Hochofengas;-;;-;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;.;;.;
;;Laufwasser;923437;p;913709;p
;;Speicherwasser;37073;p;36839;p
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;27590;p;27590;p
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;416512;p;371725;p
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;230721;p;219624;p
;;Biomethan (Bioerdgas);117191;p;114965;p
;;Klärgas;.;;.;
;;Deponiegas;4813;p;4528;p
;;Sonstige erneuerbare Energien;-;;-;
;;Klärschlamm;13009;p;11209;p
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);35948;p;23875;p
;;Abfall (Hausmüll, Siedlungsabfälle);822711;p;638741;p
;;Kernenergie;2038259;p;1899468;p
;;Wärme;21096;p;20198;p
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;.;;.;
;;Andere Speicher;-;;-;
;;Insgesamt;24701421;e;23020783;e
;März;Steinkohlen;3990805;p;3613596;p
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;7889279;p;7308671;p
;;Hartbraunkohlen;.;;.;
;;Braunkohlenbriketts;.;;.;
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;.;;.;
;;Staub- und Trockenkohle;.;;.;
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;7;p;6;p
;;Heizöl, leicht;41931;p;38580;p
;;Heizöl, schwer;25886;p;23288;p
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;-;;-;
;;Sonstige Mineralölprodukte;.;;.;
;;Erdgas, Erdölgas;4706749;p;4569878;p
;;Grubengas;44001;p;43634;p
;;Kokereigas;-;;-;
;;Hochofengas;-;;-;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;.;;.;
;;Laufwasser;1200875;p;1190067;p
;;Speicherwasser;63830;p;63129;p
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;53129;p;53129;p
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;456801;p;407621;p
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;250401;p;237405;p
;;Biomethan (Bioerdgas);108653;p;105987;p
;;Klärgas;.;;.;
;;Deponiegas;4958;p;4635;p
;;Sonstige erneuerbare Energien;-;;-;
;;Klärschlamm;12124;p;10091;p
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);41831;p;26407;p
;;Abfall (Hausmüll, Siedlungsabfälle);891842;p;693193;p
;;Kernenergie;2294794;p;2131869;p
;;Wärme;36242;p;34263;p
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;.;;.;
;;Andere Speicher;-;;-;
;;Insgesamt;22173955;e;20606377;e
;April;Steinkohlen;2766768;p;2487542;p
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;7246715;p;6711888;p
;;Hartbraunkohlen;.;;.;
;;Braunkohlenbriketts;.;;.;
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;.;;.;
;;Staub- und Trockenkohle;.;;.;
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;10;p;7;p
;;Heizöl, leicht;36123;p;33109;p
;;Heizöl, schwer;18102;p;16334;p
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;-;;-;
;;Sonstige Mineralölprodukte;.;;.;
;;Erdgas, Erdölgas;3544427;p;3435471;p
;;Grubengas;42013;p;41595;p
;;Kokereigas;-;;-;
;;Hochofengas;-;;-;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;927;p;744;p
;;Laufwasser;1439395;p;1428943;p
;;Speicherwasser;78435;p;77933;p
