Jahr;Monat;Typ;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);data_quality
;;Petrolkoks;15587;e;13480;e
;;Sonstige Mineralölprodukte;16467;e;15116;e
;;Erdgas, Erdölgas;3694165;e;3554039;e
;;Grubengas;19699;e;17833;e
;;Kokereigas;2418;e;2187;e
;;Hochofengas;289636;e;269461;e
;;Sonstige hergestellte Gase;25197;e;23277;e
;;Wasserstoff;-;;-;
;;Laufwasser;1619246;e;1598925;e
;;Speicherwasser;235558;e;231295;e
;;Pumpspeicherwasser;351745;e;343667;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;15635;e;14583;e
;;Photovoltaik;48;e;48;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;27996;e;26080;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;2593;e;2440;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1057;e;1042;e
;;Deponiegas;8585;e;8236;e
;;Sonstige erneuerbare Energien;6423;e;5907;e
;;Klärschlamm;3728;e;3252;e
;;Abfall (Hausmüll, Industrie);341233;e;260775;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;14717848;e;13963618;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;4463;e;3751;e
;;Andere Speicher;-;;-;
;;Insgesamt;45971493;e;43031969;e
;November;Steinkohlen;10542568;e;9683809;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13209190;e;12238968;e
;;Hartbraunkohlen;87805;e;79419;e
;;Braunkohlenbriketts;4803;e;4301;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;56196;e;50662;e
;;Sonstige Braunkohlen;10727;e;9935;e
;;Dieselkraftstoff;968;e;943;e
;;Heizöl, leicht;44564;e;41275;e
;;Heizöl, schwer;44263;e;40990;e
;;Flüssiggas;4;e;4;e
;;Raffineriegas;-;;-;
;;Petrolkoks;17484;e;15121;e
;;Sonstige Mineralölprodukte;23546;e;21600;e
;;Erdgas, Erdölgas;4052546;e;3905136;e
;;Grubengas;19100;e;17151;e
;;Kokereigas;3199;e;2871;e
;;Hochofengas;288367;e;267977;e
;;Sonstige hergestellte Gase;21737;e;19837;e
;;Wasserstoff;-;;-;
;;Laufwasser;1604470;e;1585285;e
;;Speicherwasser;282948;e;278268;e
;;Pumpspeicherwasser;338691;e;332003;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;12083;e;10357;e
;;Photovoltaik;193;e;196;e
;;Geothermie;-;;-;
