Jahr,Typ,Elektrizitätserzeugung (brutto),Elektrizitätserzeugung (netto)
2012,Deponiegas,73955.0,70593.0
2012,Dieselkraftstoff,2022.0,1933.0
2012,"Erdgas, Erdölgas",51448794.0,49867958.0
2012,Feste biogene Stoffe,3990882.0,3586682.0
2012,Flüssige biogene Stoffe,0.0,0.0
2012,Flüssiggas,0.0,0.0
2012,Geothermie,0.0,0.0
2012,Grubengas,345198.0,341172.0
2012,Hartbraunkohlen,0.0,0.0
2012,"Heizöl, leicht",533876.0,486864.0
2012,"Heizöl, schwer",447183.0,412889.0
2012,Hochofengas,0.0,0.0
2012,Insgesamt,467227654.0,435448765.0
2012,Kernenergie,99460199.0,94180287.0
2012,Klärgas,41561.0,38487.0
2012,Klärschlamm,123670.0,113255.0
2012,Kohlenwertstoffe aus Steinkohle,0.0,0.0
2012,Kokereigas,0.0,0.0
2012,Laufwasser,16925428.0,16585897.0
2012,Petrolkoks,0.0,0.0
2012,Photovoltaik,0.0,0.0
2012,Pumpspeicher mit natürlichem Zufluss,560235.0,544428.0
2012,Pumpspeicher ohne natürlichen Zufluss,6094416.0,5941045.0
2012,Pumpspeicherwasser,0.0,0.0
2012,Raffineriegas,0.0,0.0
2012,Rohbraunkohlen,153543992.0,141867569.0
2012,Solarthermie,0.0,0.0
2012,Sonstige Braunkohlen,0.0,0.0
2012,Sonstige Energieträger,241331.0,215849.0
2012,Sonstige Mineralölprodukte,1375208.0,1251192.0
2012,Sonstige Steinkohlen,0.0,0.0
2012,Sonstige erneuerbare Energien,0.0,0.0
2012,Sonstige hergestellte Gase,0.0,0.0
2012,Speicherwasser,804634.0,800037.0
2012,Staub- und Trockenkohle,201542.0,183845.0
2012,Steinkohlen,115347734.0,105829825.0
2012,Steinkohlenbriketts,0.0,0.0
2012,Steinkohlenkoks,0.0,0.0
2012,Strom (Elektrokessel),0.0,0.0
2012,Wasserstoff,0.0,0.0
2012,Windkraft,0.0,0.0
2012,Wirbelschichtkohle,670946.0,594334.0
2012,Wärme,316688.0,305708.0
2012,Wärmepumpen (Erd- und Umweltwärme),0.0,0.0
2013,"Abfall (Hausmüll, Industrie)",0.0,0.0
2013,"Abfall (Hausmüll, Siedlungsabfälle)",10230724.0,8094470.0
2013,Abfall (Industrie),944626.0,754149.0
2013,Andere Speicher,0.0,0.0
2013,Biogas,860689.0,833259.0
2013,Biomethan (Bioerdgas),0.0,0.0
2013,Braunkohlenbriketts,61993.0,45208.0
