statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2011;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST158;Schweiz;398450;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2011;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST158;Schweiz;654453;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1998;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;312785;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1998;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;322942;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1998;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;10157;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1999;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST126;Dänemark;259327;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1999;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST126;Dänemark;303994;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1999;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST126;Dänemark;44667;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2009;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST158;Schweiz;-1107977;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2009;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST158;Schweiz;161952;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2009;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST158;Schweiz;1269929;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2016;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST152;Polen;-627189;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2016;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST152;Polen;89;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2016;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST152;Polen;627278;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2000;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST152;Polen;-220909;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2000;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST152;Polen;15221;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2000;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST152;Polen;236130;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1991;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;99995;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1991;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;104122;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1991;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;4127;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2015;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;;Insgesamt;-4818111;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2015;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;;Insgesamt;2595825;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2015;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;;Insgesamt;7413936;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2021;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;125046;MWh;SDO001;Austauschsaldo;p
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2021;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;563113;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2021;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;438067;MWh;EKT202;Ausfuhr von Elektrizität;e
