,Biomass,Hard coal,Hydropower,Lignite,Mineral oil,Natural gas,Nuclear,Other,Solar,Wind,Year,Cost,GWP,Variable,Perturbation,Cost_Sensitivity,GWP_Sensitivity,Cost_Normalized_Sensitivity,GWP_Normalized_Sensitivity
247,7.2693298993421855,11.776673460734488,4.48166950566649,4.6108562045097585,0.5734904650956926,7.429998325583138,9.10367554800813,9.754306591060118,15.0,30.0,2033.0,9.85016281291667,25.1190868255,Hydropower,+10%,-0.002352309711667647,0.0009417472146207164,-0.025609918791008393,0.010252931222647817
248,7.32358092296988,11.864562798406693,4.104651103801449,4.645267033617596,0.5777704255876465,7.485448417998315,9.171616296893188,9.827103000725232,15.0,30.0,2033.0,9.873388079583338,25.0954532523,Lignite,0%,,,,
249,7.3859623180014315,11.965623739302792,4.139614035824202,4.21635138129892,0.5826918056522932,7.549208581183908,9.249739038392478,9.910809100343968,15.0,30.0,2033.0,9.873388079583338,25.185191563700002,Lignite,-10%,0.0,0.003575879283701597,-0.0,-0.03872769404188946
250,7.262244441706009,11.76519466942132,4.070273815126533,5.066998174110996,0.5729314806430054,7.422756263508399,9.094802143124586,9.744799012359158,15.0,30.0,2033.0,9.85016281291667,25.1190868255,Lignite,+10%,-0.002352309711667647,0.0009417472146207164,-0.025910125450267184,0.010373118961432913
251,7.32358092296988,11.864562798406693,4.104651103801449,4.645267033617596,0.5777704255876465,7.485448417998315,9.171616296893188,9.827103000725232,15.0,30.0,2033.0,9.873388079583338,25.0954532523,Mineral oil,0%,,,,
252,7.331282374128797,11.877039529649908,4.108967540027499,4.6501519795963215,0.5205402061860884,7.493320088428417,9.181261135354289,9.837437146628687,15.0,30.0,2033.0,9.873388079583338,25.084675285499998,Mineral oil,-10%,0.0,-0.00042947886581865013,-0.0,0.0043358244941165795
253,7.31589563545197,11.852112253060215,4.100343726819448,4.640392340059033,0.6348805314285189,7.477593268461786,9.161991700812806,9.816790543906219,15.0,30.0,2033.0,9.873388079583338,25.0954532523,Mineral oil,+10%,0.0,0.0,0.0,0.0
254,7.32358092296988,11.864562798406693,4.104651103801449,4.645267033617596,0.5777704255876465,7.485448417998315,9.171616296893188,9.827103000725232,15.0,30.0,2033.0,9.873388079583338,25.0954532523,Natural gas,0%,,,,
255,7.424629433233924,12.02826637570355,4.1612858134544695,4.709360995091211,0.5857423236788031,6.829857293420646,9.298163429131149,9.96269433628624,15.0,30.0,2033.0,9.873388079583338,25.583888904700004,Natural gas,-10%,0.0,0.019463113397054827,-0.0,-0.22222712591046623
256,7.2252460024988725,11.70525537059562,4.049537281192132,4.58289427237935,0.5700126074590224,8.123434083777912,9.048467502794816,9.695152879302277,15.0,30.0,2033.0,9.85016281291667,25.1300688891,Natural gas,+10%,-0.002352309711667647,0.0013793589002751166,-0.02759951195506588,0.016183937119181688
